person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,monthly_interest_rate,emi,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status_num,monthly_income,dti,loan_status
28,male,Master,73201,8,MORTGAGE,2500,HOMEIMPROVEMENT,0.009175,81.85863239,11.01,0.03,7,680,No,0,208.3333333,0.392921435,Rejected
23,male,Associate,23628,0,RENT,4000,EDUCATION,0.013016667,139.8788577,15.62,0.17,4,676,No,1,333.3333333,0.419636573,Approved
24,male,Associate,38624,4,RENT,13500,VENTURE,0.011191667,457.6694362,13.43,0.35,4,557,No,1,1125.0,0.406817277,Approved
22,female,Associate,20194,0,RENT,4000,EDUCATION,0.011125,135.4511236,13.35,0.2,2,606,No,1,333.3333333,0.406353371,Approved
27,male,Associate,71689,3,OWN,24250,MEDICAL,0.009575,799.5528296,11.49,0.34,9,567,Yes,0,2020.833333,0.395655008,Rejected
21,female,Associate,27576,0,RENT,4941,EDUCATION,0.011133333,167.3398701,13.36,0.18,3,609,No,0,411.75,0.406411342,Rejected
29,female,High School,73128,6,MORTGAGE,5000,DEBTCONSOLIDATION,0.009175,163.7172648,11.01,0.07,7,596,Yes,0,416.6666667,0.392921435,Rejected
26,male,Associate,30991,5,RENT,9995,HOMEIMPROVEMENT,0.011616667,341.314213,13.94,0.32,3,593,No,1,832.9166667,0.409781947,Approved
31,male,Associate,63337,7,RENT,10000,VENTURE,0.009858333,331.3317299,11.83,0.16,7,582,Yes,0,833.3333333,0.397598076,Rejected
30,female,Bachelor,69839,8,RENT,1909,MEDICAL,0.011158333,64.68094243,13.39,0.03,8,592,No,1,159.0833333,0.406585285,Approved
26,female,Bachelor,28016,5,RENT,3531,PERSONAL,0.0125,122.4032749,15.0,0.13,8,619,No,1,294.25,0.415983942,Approved
55,female,Associate,41815,33,RENT,12000,DEBTCONSOLIDATION,0.005766667,370.0863931,6.92,0.29,30,592,No,1,1000.0,0.370086393,Approved
23,male,High School,49989,2,OWN,12200,MEDICAL,0.009466667,401.4954503,11.36,0.24,4,655,No,0,1016.666667,0.394913558,Rejected
27,male,Bachelor,59708,7,RENT,5000,MEDICAL,0.0098,165.4989887,11.76,0.08,10,613,No,0,416.6666667,0.397197573,Rejected
22,male,Master,89899,0,MORTGAGE,2500,MEDICAL,0.005516667,76.75912919,6.62,0.03,3,608,Yes,0,208.3333333,0.36844382,Rejected
26,female,Master,72778,1,MORTGAGE,5000,MEDICAL,0.006583333,156.4512699,7.9,0.07,2,683,No,1,416.6666667,0.375483048,Approved
48,male,Associate,80110,27,RENT,6000,VENTURE,0.009908333,198.9707769,11.89,0.07,11,579,Yes,0,500.0,0.397941554,Rejected
32,female,Bachelor,136004,8,MORTGAGE,6000,DEBTCONSOLIDATION,0.004608333,181.2566093,5.53,0.04,10,669,Yes,0,500.0,0.362513219,Rejected
31,female,Bachelor,14035,8,MORTGAGE,2000,EDUCATION,0.012266667,69.05673681,14.72,0.14,6,620,No,1,166.6666667,0.414340421,Approved
32,female,Bachelor,49446,11,RENT,15000,MEDICAL,0.009758333,496.1395565,11.71,0.3,8,662,No,1,1250.0,0.396911645,Approved
25,male,Associate,60667,2,MORTGAGE,2707,MEDICAL,0.009308333,88.8417953,11.17,0.04,3,502,No,1,225.5833333,0.393831379,Approved
23,female,High School,65782,1,RENT,7000,DEBTCONSOLIDATION,0.012516667,242.7258637,15.02,0.11,3,580,No,1,583.3333333,0.416101481,Approved
26,male,High School,31673,3,MORTGAGE,5600,HOMEIMPROVEMENT,0.009925,185.7595065,11.91,0.18,4,554,Yes,0,466.6666667,0.398056085,Rejected
26,female,Master,190098,2,MORTGAGE,25000,PERSONAL,0.009883333,828.6870686,11.86,0.13,3,629,Yes,0,2083.333333,0.397769793,Rejected
27,male,Bachelor,53690,4,RENT,15000,MEDICAL,0.009175,491.1517943,11.01,0.28,6,526,No,1,1250.0,0.392921435,Approved
31,male,Bachelor,103464,6,OTHER,16000,HOMEIMPROVEMENT,0.009908333,530.5887384,11.89,0.15,10,671,Yes,0,1333.333333,0.397941554,Rejected
22,female,Associate,85975,0,MORTGAGE,3200,PERSONAL,0.006166667,99.39299769,7.4,0.04,2,662,Yes,0,266.6666667,0.372723741,Rejected
23,female,Bachelor,47769,2,MORTGAGE,10000,EDUCATION,0.006258333,311.1081106,7.51,0.21,2,692,No,0,833.3333333,0.373329733,Rejected
30,male,Bachelor,74061,6,RENT,9000,PERSONAL,0.009575,296.7412563,11.49,0.12,5,681,No,0,750.0,0.395655008,Rejected
22,male,Associate,53904,0,RENT,12000,DEBTCONSOLIDATION,0.009883333,397.7697929,11.86,0.22,2,553,No,1,1000.0,0.397769793,Approved
23,female,Associate,55975,0,RENT,12457,EDUCATION,0.013166667,436.7221452,15.8,0.22,4,606,No,1,1038.083333,0.420700469,Approved
22,female,High School,44394,0,RENT,6000,EDUCATION,0.008958333,195.7227195,10.75,0.14,3,605,No,0,500.0,0.391445439,Rejected
21,female,Associate,39308,0,MORTGAGE,6000,VENTURE,0.007416667,190.5192709,8.9,0.15,3,584,Yes,0,500.0,0.381038542,Rejected
42,male,Master,145263,17,MORTGAGE,9250,EDUCATION,0.009883333,306.6142154,11.86,0.06,13,667,No,0,770.8333333,0.397769793,Rejected
25,male,Bachelor,135544,5,MORTGAGE,3435,EDUCATION,0.005383333,105.2167972,6.46,0.03,5,682,No,0,286.25,0.367569597,Rejected
30,male,Associate,110077,7,MORTGAGE,18374,HOMEIMPROVEMENT,0.01005,610.8064095,12.06,0.17,7,621,No,0,1531.166667,0.398915691,Rejected
37,male,Bachelor,88417,16,MORTGAGE,23000,EDUCATION,0.00965,759.323538,11.58,0.26,17,709,Yes,0,1916.666667,0.396168802,Rejected
32,male,Master,41917,13,RENT,7500,HOMEIMPROVEMENT,0.0058,231.4410864,6.96,0.18,7,690,No,1,625.0,0.370305738,Approved
23,male,High School,112784,0,RENT,7200,DEBTCONSOLIDATION,0.005766667,222.0518359,6.92,0.06,2,522,Yes,0,600.0,0.370086393,Rejected
25,female,Bachelor,106645,1,RENT,12000,MEDICAL,0.007025,378.4213406,8.43,0.11,5,687,No,0,1000.0,0.378421341,Rejected
28,female,Bachelor,29935,5,MORTGAGE,1240,VENTURE,0.006291667,38.60019156,7.55,0.04,5,572,Yes,0,103.3333333,0.373550241,Rejected
24,female,Associate,57242,5,RENT,8000,EDUCATION,0.008741667,259.9818272,10.49,0.14,4,642,Yes,0,666.6666667,0.389972741,Rejected
28,female,Master,71402,8,MORTGAGE,20000,MEDICAL,0.01215,689.2001247,14.58,0.28,10,680,No,1,1666.666667,0.413520075,Approved
28,male,Bachelor,45220,7,RENT,12000,EDUCATION,0.01,398.5717178,12.0,0.27,6,632,No,1,1000.0,0.398571718,Approved
28,male,High School,121078,9,OWN,18000,MEDICAL,0.0116,614.4981726,13.92,0.15,9,551,Yes,0,1500.0,0.409665448,Rejected
27,male,Associate,361226,5,MORTGAGE,35000,DEBTCONSOLIDATION,0.009175,1146.020853,11.01,0.1,8,675,Yes,0,2916.666667,0.392921435,Rejected
23,female,Associate,46831,2,OWN,5000,VENTURE,0.010825,168.4456779,12.99,0.11,4,639,Yes,0,416.6666667,0.404269627,Rejected
27,female,High School,66353,4,RENT,18000,EDUCATION,0.012216667,620.9830927,14.66,0.27,5,618,No,1,1500.0,0.413988728,Approved
22,female,High School,56431,2,MORTGAGE,12000,EDUCATION,0.010175,399.7763907,12.21,0.21,3,671,No,0,1000.0,0.399776391,Rejected
34,female,Bachelor,84934,11,MORTGAGE,17000,DEBTCONSOLIDATION,0.009283333,557.6859488,11.14,0.2,8,668,No,1,1416.666667,0.39366067,Approved
27,male,Bachelor,61188,5,RENT,8000,HOMEIMPROVEMENT,0.006583333,250.3220319,7.9,0.13,9,647,No,0,666.6666667,0.375483048,Rejected
31,male,Bachelor,88433,7,RENT,5800,HOMEIMPROVEMENT,0.008641667,188.1588378,10.37,0.07,6,652,Yes,0,483.3333333,0.389294147,Rejected
24,female,Bachelor,73274,0,RENT,5860,MEDICAL,0.006808333,184.0910153,8.17,0.08,3,659,No,0,488.3333333,0.376978188,Rejected
36,male,High School,43026,12,MORTGAGE,5000,HOMEIMPROVEMENT,0.004991667,152.0870332,5.99,0.12,11,559,Yes,0,416.6666667,0.36500888,Rejected
24,female,Bachelor,141633,3,RENT,5000,MEDICAL,0.011025,169.0242053,13.23,0.04,3,691,No,1,416.6666667,0.405658093,Approved
23,female,Bachelor,93273,0,RENT,16000,DEBTCONSOLIDATION,0.009283333,524.880893,11.14,0.17,3,583,Yes,0,1333.333333,0.39366067,Rejected
39,female,High School,106935,19,MORTGAGE,25000,MEDICAL,0.01525,907.5767061,18.3,0.23,13,644,No,1,2083.333333,0.435636819,Approved
40,female,Associate,179191,20,MORTGAGE,5000,VENTURE,0.005025,152.1776617,6.03,0.03,11,708,Yes,0,416.6666667,0.365226388,Rejected
26,male,Associate,25229,3,MORTGAGE,7000,HOMEIMPROVEMENT,0.006666667,219.3545582,8.0,0.28,2,626,Yes,0,583.3333333,0.376036386,Rejected
24,male,Master,106342,4,MORTGAGE,6000,MEDICAL,0.008258333,193.3496953,9.91,0.06,2,640,No,0,500.0,0.386699391,Rejected
27,male,Bachelor,20351,5,RENT,6155,MEDICAL,0.007383333,195.3265549,8.86,0.3,4,664,No,1,512.9166667,0.380815379,Approved
23,male,Bachelor,51399,0,MORTGAGE,8000,VENTURE,0.004516667,241.2786539,5.42,0.16,3,569,Yes,0,666.6666667,0.361917981,Rejected
25,male,High School,114810,7,RENT,8600,HOMEIMPROVEMENT,0.007158333,271.839611,8.59,0.07,2,616,Yes,0,716.6666667,0.379311085,Rejected
25,male,High School,76633,1,MORTGAGE,3628,HOMEIMPROVEMENT,0.005325,111.0130276,6.39,0.05,4,685,Yes,0,302.3333333,0.367187522,Rejected
22,male,Bachelor,52694,3,RENT,10000,MEDICAL,0.013975,355.3836533,16.77,0.19,2,656,No,1,833.3333333,0.426460384,Approved
23,female,High School,92710,4,MORTGAGE,6000,DEBTCONSOLIDATION,0.005758333,185.0157846,6.91,0.06,4,697,No,0,500.0,0.370031569,Rejected
25,female,Associate,123489,1,MORTGAGE,25000,HOMEIMPROVEMENT,0.016666667,929.089584,20.0,0.2,4,570,No,1,2083.333333,0.445963,Approved
32,male,High School,69732,5,RENT,15000,PERSONAL,0.009858333,496.9975948,11.83,0.22,5,600,No,1,1250.0,0.397598076,Approved
23,male,High School,60919,0,RENT,10000,PERSONAL,0.00745,317.7181525,8.94,0.16,2,561,Yes,0,833.3333333,0.381261783,Rejected
26,female,Associate,75443,4,RENT,4000,EDUCATION,0.010883333,134.891436,13.06,0.05,2,579,Yes,0,333.3333333,0.404674308,Rejected
28,male,Bachelor,46761,7,RENT,15421,EDUCATION,0.010808333,519.3716304,12.97,0.33,5,703,No,1,1285.083333,0.404154047,Approved
29,male,High School,51296,8,RENT,15000,PERSONAL,0.009158333,491.0097253,10.99,0.29,9,572,No,1,1250.0,0.39280778,Approved
24,female,Master,118513,3,MORTGAGE,16000,DEBTCONSOLIDATION,0.012325,553.0012635,14.79,0.14,2,633,No,1,1333.333333,0.414750948,Approved
28,male,Bachelor,72966,4,MORTGAGE,3226,DEBTCONSOLIDATION,0.010516667,108.1071693,12.62,0.04,4,513,Yes,0,268.8333333,0.402134542,Rejected
26,female,Master,96945,4,MORTGAGE,25000,VENTURE,0.009175,818.5863239,11.01,0.26,3,646,Yes,0,2083.333333,0.392921435,Rejected
27,female,Bachelor,68644,3,RENT,10000,EDUCATION,0.0088,325.3074266,10.56,0.15,10,578,No,0,833.3333333,0.390368912,Rejected
30,male,Master,62201,11,RENT,4800,PERSONAL,0.010575,161.0151872,12.69,0.08,10,692,Yes,0,400.0,0.402537968,Rejected
34,male,Master,51072,11,RENT,20000,EDUCATION,0.011533333,681.9994144,13.84,0.39,11,617,No,1,1666.666667,0.409199649,Approved
25,female,Bachelor,36986,7,RENT,14500,VENTURE,0.012016667,498.5386279,14.42,0.39,4,634,No,1,1208.333333,0.412583692,Approved
29,male,Associate,66028,5,RENT,10000,PERSONAL,0.009758333,330.7597044,11.71,0.15,7,587,No,1,833.3333333,0.396911645,Approved
43,male,Bachelor,366106,21,MORTGAGE,20000,VENTURE,0.013875,709.5756323,16.65,0.05,13,630,No,0,1666.666667,0.425745379,Rejected
34,female,Associate,37229,10,RENT,12000,DEBTCONSOLIDATION,0.007416667,381.0385418,8.9,0.32,8,573,No,1,1000.0,0.381038542,Approved
23,female,High School,48518,1,OWN,14000,PERSONAL,0.006075,434.1380704,7.29,0.29,3,625,Yes,0,1166.666667,0.372118346,Rejected
24,female,Master,76857,0,RENT,5000,EDUCATION,0.007766667,159.7443698,9.32,0.07,4,621,Yes,0,416.6666667,0.383386488,Rejected
36,female,Bachelor,72978,14,RENT,9500,EDUCATION,0.00595,293.9408996,7.14,0.13,12,713,Yes,0,791.6666667,0.371293768,Rejected
39,male,Bachelor,138776,15,MORTGAGE,25000,VENTURE,0.012983333,873.7507557,15.58,0.18,17,667,Yes,0,2083.333333,0.419400363,Rejected
28,female,Doctorate,90328,4,MORTGAGE,20000,HOMEIMPROVEMENT,0.009175,654.8690591,11.01,0.22,8,708,No,1,1666.666667,0.392921435,Approved
30,female,Associate,36992,4,MORTGAGE,1100,PERSONAL,0.012208333,37.94359524,14.65,0.03,10,621,No,1,91.66666667,0.41393013,Approved
43,male,Bachelor,14341,20,RENT,1950,EDUCATION,0.009175,63.84973326,11.01,0.14,11,707,No,1,162.5,0.392921435,Approved
25,male,High School,56289,3,RENT,8605,EDUCATION,0.009091667,281.3500512,10.91,0.15,2,645,Yes,0,717.0833333,0.392353354,Rejected
24,female,Associate,90716,1,RENT,23462,VENTURE,0.011425,798.5748878,13.71,0.26,5,664,No,1,1955.166667,0.408443383,Approved
23,male,Bachelor,117270,4,RENT,10000,EDUCATION,0.011658333,341.7277305,13.99,0.09,3,547,Yes,0,833.3333333,0.410073277,Rejected
37,female,Bachelor,46107,13,RENT,6750,PERSONAL,0.005758333,208.1427576,6.91,0.15,16,619,Yes,0,562.5,0.370031569,Rejected
33,male,Master,68266,11,RENT,19000,VENTURE,0.013066667,664.9858015,15.68,0.28,5,679,No,1,1583.333333,0.419991033,Approved
30,female,Bachelor,77694,5,MORTGAGE,15000,HOMEIMPROVEMENT,0.014991667,542.2106886,17.99,0.19,5,659,No,0,1250.0,0.433768551,Rejected
29,female,High School,72595,8,MORTGAGE,12000,DEBTCONSOLIDATION,0.006075,372.1183461,7.29,0.17,7,643,Yes,0,1000.0,0.372118346,Rejected
25,female,Master,46952,6,MORTGAGE,15156,DEBTCONSOLIDATION,0.01185,519.6170794,14.22,0.32,3,623,No,0,1263.0,0.411414948,Rejected
31,female,Bachelor,104257,9,RENT,5000,DEBTCONSOLIDATION,0.009175,163.7172648,11.01,0.05,8,660,Yes,0,416.6666667,0.392921435,Rejected
26,female,Bachelor,133082,8,MORTGAGE,12000,HOMEIMPROVEMENT,0.00895,391.3887357,10.74,0.09,4,657,Yes,0,1000.0,0.391388736,Rejected
23,female,Master,44098,0,RENT,15000,VENTURE,0.012158333,516.9732996,14.59,0.34,4,708,No,1,1250.0,0.41357864,Approved
25,male,High School,99460,2,RENT,5600,EDUCATION,0.004991667,170.3374772,5.99,0.06,4,630,Yes,0,466.6666667,0.36500888,Rejected
24,female,Associate,67265,2,RENT,20000,HOMEIMPROVEMENT,0.005758333,616.7192819,6.91,0.3,2,525,No,1,1666.666667,0.370031569,Approved
26,male,Bachelor,24297,3,MORTGAGE,4000,VENTURE,0.006258333,124.4432442,7.51,0.16,4,678,No,1,333.3333333,0.373329733,Approved
44,male,Associate,59881,24,MORTGAGE,3600,VENTURE,0.013575,127.0813478,16.29,0.06,14,675,Yes,0,300.0,0.423604493,Rejected
52,male,Associate,86458,27,RENT,7000,EDUCATION,0.014016667,248.9424615,16.82,0.08,24,732,No,1,583.3333333,0.426758505,Approved
23,male,Associate,89735,2,RENT,24000,DEBTCONSOLIDATION,0.009158333,785.6155605,10.99,0.27,2,689,No,1,2000.0,0.39280778,Approved
24,male,Associate,55063,3,MORTGAGE,9200,EDUCATION,0.009908333,305.0885246,11.89,0.17,3,597,Yes,0,766.6666667,0.397941554,Rejected
24,female,Associate,79274,3,RENT,7500,EDUCATION,0.006958333,236.2355875,8.35,0.09,4,672,No,0,625.0,0.37797694,Rejected
22,female,High School,141247,0,MORTGAGE,6000,EDUCATION,0.007075,189.3774237,8.49,0.04,4,629,Yes,0,500.0,0.378754847,Rejected
25,female,Bachelor,30828,2,RENT,9250,EDUCATION,0.007158333,292.3856281,8.59,0.3,4,682,No,1,770.8333333,0.379311085,Approved
21,female,Bachelor,51140,2,RENT,5000,EDUCATION,0.007766667,159.7443698,9.32,0.1,4,652,No,0,416.6666667,0.383386488,Rejected
23,female,Bachelor,29844,1,RENT,5250,EDUCATION,0.006383333,163.6937071,7.66,0.18,3,703,No,1,437.5,0.374157045,Approved
24,male,High School,106079,3,MORTGAGE,8000,VENTURE,0.009175,261.9476236,11.01,0.08,3,643,No,1,666.6666667,0.392921435,Approved
21,male,High School,66951,0,RENT,16000,DEBTCONSOLIDATION,0.00745,508.349044,8.94,0.24,2,679,No,0,1333.333333,0.381261783,Rejected
37,female,High School,141382,14,MORTGAGE,10000,PERSONAL,0.00745,317.7181525,8.94,0.07,11,531,Yes,0,833.3333333,0.381261783,Rejected
26,male,Associate,76695,5,RENT,7000,VENTURE,0.012366667,242.1091898,14.84,0.09,2,712,No,0,583.3333333,0.415044325,Rejected
33,male,Bachelor,54239,12,RENT,7500,EDUCATION,0.010766667,252.4157395,12.92,0.14,6,614,No,1,625.0,0.403865183,Approved
33,male,Associate,169108,11,MORTGAGE,11365,HOMEIMPROVEMENT,0.005083333,346.260503,6.1,0.07,8,634,No,0,947.0833333,0.365607218,Rejected
28,male,Bachelor,17623,9,OWN,6700,VENTURE,0.008025,215.0281476,9.63,0.38,8,655,No,1,558.3333333,0.385125041,Approved
